_id,_deleted,quote_id,user,email_address,billing_account,order_time,order_time_et,last_history_status,last_history_time,due_date,due_date_et,original_due_date,ship_date,min_cancelled_et,quote_source,is_manually_quoted,is_manually_quoted_type,coupon,selected_price_tier,order_total_price_bin,order_total_price_bin_sales,order_total_quantity_bin,customer_flag,customer_flag_aggregated,quoter_customer_flag,quote_rank_customer,quote_rank_account,order_rank_customer,order_rank_account,is_quote_reorder,quote_reorder_count,days_since_last_order,months_since_last_order,contains_fab5_process,contains_sheet_cutting_process,is_fully_outsourced,is_fully_shipped,is_unproven,order_ship_status,asana_late_shipment_category,has_new_processes,has_rma_job,payment_type,subtotal,total,total_etl,bookings,bookings_with_shipping,cancelled_part_bookings,line_items_discount_total,line_items_shipping_total,line_items_tax,lead_time_days,part_count,total_order_quantity,total_quantity_unproven,days_from_quote_to_order,shipping_method,shipping_address_country,shipping_address_country_code,shipping_address_state,shipping_address_city
ORD00000000,False,QT000000007,USR0000002,user2@example.com,ACC000575,2023-01-27,,completed,,2023-02-06,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,178,9,False,False,False,True,False,On Time,,False,False,net30,1373.71,1526.35,1526.35,1526.35,1602.67,0,76.32,45.79,122.11,29,1,40,0,12,standard,AU,AU,CA,San Francisco
ORD00000001,False,QT000000010,USR0000004,user4@example.com,ACC001449,2024-08-24,,completed,,2024-09-05,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,172,7,False,True,False,True,False,On Time,,False,False,credit_card,7844.02,8715.57,8715.57,8715.57,9151.35,0,435.78,261.47,697.25,10,9,36,0,4,standard,AU,AU,CA,San Francisco
ORD00000002,False,QT000000023,USR0000008,user8@example.com,ACC000921,2024-07-07,,completed,,2024-07-09,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,108,9,False,False,True,True,False,On Time,,False,False,credit_card,15317.4,17019.33,17019.33,17019.33,17870.3,0,850.97,510.58,1361.55,26,3,30,0,8,standard,US,US,CA,San Francisco
ORD00000003,False,QT000000024,USR0000008,user8@example.com,ACC000921,2023-12-01,,completed,,2023-12-15,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,70,2,True,False,False,True,False,On Time,,False,False,net30,11064.44,12293.82,12293.82,12293.82,12908.51,0,614.69,368.81,983.51,5,11,36,0,13,standard,US,US,CA,San Francisco
ORD00000004,False,QT000000025,USR0000009,user9@example.com,ACC002852,2024-10-04,,completed,,2024-10-14,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,155,7,True,True,False,True,False,On Time,,False,False,credit_card,22683.18,25203.53,25203.53,25203.53,26463.71,0,1260.18,756.11,2016.28,6,4,40,0,13,standard,US,US,CA,San Francisco
ORD00000005,False,QT000000029,USR0000009,user9@example.com,ACC002852,2022-10-05,,completed,,2022-10-12,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,3,1,False,False,False,True,False,On Time,,False,False,credit_card,23798.35,26442.61,26442.61,26442.61,27764.74,0,1322.13,793.28,2115.41,19,6,3,0,8,standard,US,US,CA,San Francisco
ORD00000006,False,QT000000036,USR0000014,user14@example.com,ACC002580,2023-03-15,,completed,,2023-04-03,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,166,4,False,False,False,True,False,On Time,,False,False,credit_card,3928.09,4364.54,4364.54,4364.54,4582.77,0,218.23,130.94,349.16,16,2,49,0,3,standard,US,US,CA,San Francisco
ORD00000007,False,QT000000055,USR0000018,user18@example.com,ACC002229,2023-01-10,,completed,,2023-01-17,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,7,1,True,False,False,True,False,Early,,False,False,net30,19387.81,21542.01,21542.01,21542.01,22619.11,0,1077.1,646.26,1723.36,18,9,1,0,12,standard,AU,AU,CA,San Francisco
ORD00000008,False,QT000000058,USR0000018,user18@example.com,ACC002229,2024-06-14,,completed,,2024-07-05,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,84,0,False,True,False,True,False,On Time,,False,False,credit_card,22968.93,25521.03,25521.03,25521.03,26797.08,0,1276.05,765.63,2041.68,25,1,34,0,8,standard,AU,AU,CA,San Francisco
ORD00000009,False,QT000000063,USR0000020,user20@example.com,ACC000298,2024-04-26,,completed,,2024-05-04,,,,,instant_quote,False,,,standard,$1k-$5k,,1-10,returning,returning,,1,1,1,1,False,0,92,11,True,False,True,True,False,Early,,False,False,net30,10969.12,12187.91,12187.91,12187.91,12797.31,0,609.4,365.64,975.03,10,10,24,0,8,standard,US,US,CA,San Francisco
