_id,_constructed,_updated,_deleted,email_address,billing_email_address,email_address_verified,email_flag,full_name,first_name,last_name,account,company,erp_company_name,phone_number,current_customer_flag,total_quotes,total_bookings,total_orders,is_instant_quote_user,is_instant_quote_customer_user,is_active_teamspace_user,is_created_teamspace_user,is_partner_user,is_staff_user,is_excluded_user,is_instant_quote_funnel_user,tax_exempt,signup_date,first_quote_time,first_quote_time_et,last_quote_time,last_quote_time_et,first_order_time,first_order_time_et,last_order_time,last_order_time_et,accepted_teamspace_invitation_at,min_teamspace_created_at
USR0000000,2024-09-28,2024-11-14,False,user0@example.com,billing0@example.com,True,COMPANY_EMAIL,User 0,First0,Last0,ACC000545,Company 545,Company 545,+15550000000,False,8,7,3,True,False,False,False,False,False,False,False,False,2024-09-28,,,,,,,,,,
USR0000001,2021-11-28,2021-12-16,False,user1@example.com,billing1@example.com,True,PERSONAL_EMAIL,User 1,First1,Last1,ACC002603,Company 2603,Company 2603,+15550000001,True,19,6,0,False,False,False,False,False,False,False,False,False,2021-11-28,,,,,,,,,,
USR0000002,2020-11-29,2021-01-10,False,user2@example.com,billing2@example.com,True,PERSONAL_EMAIL,User 2,First2,Last2,ACC000575,Company 575,Company 575,+15550000002,True,6,10,8,False,False,True,False,False,False,False,True,False,2020-11-29,,,,,,,,,,
USR0000003,2024-10-17,2024-11-21,False,user3@example.com,billing3@example.com,True,COMPANY_EMAIL,User 3,First3,Last3,ACC000639,Company 639,Company 639,+15550000003,False,15,9,0,True,False,False,False,False,False,False,True,False,2024-10-17,,,,,,,,,,
USR0000004,2021-12-28,2022-02-15,False,user4@example.com,billing4@example.com,True,PERSONAL_EMAIL,User 4,First4,Last4,ACC001449,Company 1449,Company 1449,+15550000004,False,19,6,0,True,False,False,False,False,False,False,False,False,2021-12-28,,,,,,,,,,
USR0000005,2025-03-18,2025-04-12,False,user5@example.com,billing5@example.com,True,COMPANY_EMAIL,User 5,First5,Last5,ACC001341,Company 1341,Company 1341,+15550000005,False,3,12,0,True,False,False,False,False,False,False,False,False,2025-03-18,,,,,,,,,,
USR0000006,2020-08-13,2020-11-01,False,user6@example.com,billing6@example.com,True,PERSONAL_EMAIL,User 6,First6,Last6,ACC000980,Company 980,Company 980,+15550000006,False,16,10,9,True,False,False,False,False,False,False,False,True,2020-08-13,,,,,,,,,,
USR0000007,2020-02-15,2020-04-12,False,user7@example.com,billing7@example.com,True,PERSONAL_EMAIL,User 7,First7,Last7,ACC001115,Company 1115,Company 1115,+15550000007,False,13,8,4,False,True,False,False,False,False,False,False,False,2020-02-15,,,,,,,,,,
USR0000008,2025-03-22,2025-05-17,False,user8@example.com,billing8@example.com,True,COMPANY_EMAIL,User 8,First8,Last8,ACC000921,Company 921,Company 921,+15550000008,True,4,6,9,True,True,False,True,False,False,False,False,False,2025-03-22,,,,,,,,,,
USR0000009,2020-07-22,2020-10-03,False,user9@example.com,billing9@example.com,True,COMPANY_EMAIL,User 9,First9,Last9,ACC002852,Company 2852,Company 2852,+15550000009,False,18,4,8,True,True,False,False,False,False,False,True,False,2020-07-22,,,,,,,,,,
USR0000010,2020-01-18,2020-01-19,False,user10@example.com,billing10@example.com,True,COMPANY_EMAIL,User 10,First10,Last10,ACC001813,Company 1813,Company 1813,+15550000010,False,15,5,1,True,False,True,False,False,False,False,True,False,2020-01-18,,,,,,,,,,
USR0000011,2023-08-23,2023-09-15,False,user11@example.com,billing11@example.com,True,PERSONAL_EMAIL,User 11,First11,Last11,ACC002874,Company 2874,Company 2874,+15550000011,True,13,12,7,True,True,False,False,False,False,False,True,False,2023-08-23,,,,,,,,,,
